=== Scraping product pages ===
[1/41] S01 / bestbuy: https://www.bestbuy.com/product/anker-power-bank-24000mah-140w-3-port-black/JJ85865GV2/sku/6553403
[2/41] S01 / amazon: https://www.amazon.com/dp/B09VPHVT2Z
[3/41] S01 / walmart: https://www.walmart.com/ip/1425654143
[4/41] S02 / bestbuy: https://www.bestbuy.com/product/apple-airpods-pro-2-wireless-active-noise-cancelling-earbuds-with-hearing-aid-feature-white/JJGCQ88C8X/sku/10129617
[5/41] S02 / target: https://www.target.com/p/-/A-85978609
[6/41] S02 / amazon: https://www.amazon.com/dp/B0D1XD1ZV3
[7/41] S02 / walmart: https://www.walmart.com/ip/17835006350
[8/41] S03 / bestbuy: https://www.bestbuy.com/product/apple-airtag-4-pack-2nd-generation-2026-white/JJGCQLTTF3/sku/6377586
[9/41] S03 / target: https://www.target.com/p/-/A-79673471
[10/41] S03 / amazon: https://www.amazon.com/dp/B0GJTXVN9Z
[11/41] S03 / walmart: https://www.walmart.com/ip/5395277557
[12/41] S04 / bestbuy: https://www.bestbuy.com/product/bose-quietcomfort-ultra-2nd-gen-true-wireless-noise-cancelling-in-ear-earbuds-midnight-violet/J7C5V6WCWL/sku/12333019
[13/41] S04 / amazon: https://www.amazon.com/dp/B0CD2FSRDD
[14/41] S04 / newegg: https://www.newegg.com/bose-896637-0030-earbud-deep-plum/p/N82E16826627172
[15/41] S04 / walmart: https://www.walmart.com/ip/15853556239
[16/41] S05 / bestbuy: https://www.bestbuy.com/product/logitech-mx-master-3s-bluetooth-edition-performance-wireless-optical-mouse-with-ultra-fast-scrolling-and-quiet-clicks-wireless-black/J7H7ZYG559/sku/6633199
[17/41] S05 / target: https://www.target.com/p/-/A-1008322060
[18/41] S05 / amazon: https://www.amazon.com/dp/B09HM94VDS
[19/41] S05 / newegg: https://www.newegg.com/logitech-910-006558-mx-master-3s-usb-type-c-dual/p/N82E16826197552
[20/41] S05 / walmart: https://www.walmart.com/ip/731473988
[21/41] S06 / bestbuy: https://www.bestbuy.com/product/razer-deathadder-v3-lightweight-optical-gaming-mouse-with-8k-hz-hyperpolling-technology-wired-black/J39HWFQKZW/sku/10736128
